LogicApp,Workflow,TotalRuns,AvgRunsPer5Min,P95RunsPer5Min,PeakRunsPer5Min,AvgSec,P50Sec,P95Sec,P99Sec,MinSec,MaxSec
"logic-whleslrb2bexp-prod-eu2-01","wf-order-updates-Parfetts-sbq",15,1,1,1,"2.4","1.5","14.61","14.61","0.83","14.61"
"logic-gdppcis-prod-eu2-01","wf-LinnaeusUnsubMsg",14,1,1,1,"5.53","4.9","9.16","9.16","3.57","9.16"
"logic-gdppcis-prod-eu2-01","wf-httpOauthCaching_OneTrust",14,1,1,1,"4.52","4.63","8.65","8.65","2.35","8.65"
"logic-sscsys-prod-eu2-01","test-sftp-connectivity",13,"1.3",3,3,"2.05","2.36","3.62","3.62","0.78","3.62"
"logic-cloudcansys-prod-eu2-01","ais-candycloud-api-conn-test",9,"1.13",2,2,"16.48","1.58","75.77","75.77","0.45","75.77"
"logic-gloviaomssys-prod-eu2-01","wf-oauth-token-generation",7,"1.17",2,2,"5.02","4.47","11.9","11.9","1.26","11.9"
"logic-ibmmqpubexp-prod-eu2-01","wf-http-messaging-queue",7,"1.17",2,2,"5.3","3.76","10.96","10.96","1.63","10.96"
"logic-highradiussys-prod-eu2-01","wf-highradius-sftp-publisher",6,1,1,1,"6.13","2.55","18.43","18.43","1.9","18.43"
"logic-nomnomsys-prod-eu2-01","wf-gloviaoms-sofulfilment",5,"1.25",2,2,"4.25",4,"5.24","5.24","3.52","5.24"
"logic-gloviaomssys-prod-eu2-01","wf-gloviaoms-sofullfilment-ack-pub",5,"1.25",2,2,"6.78","7.25","12.08","12.08","2.42","12.08"
"logic-nomnomsys-prod-eu2-01","wf-gloviaoms-sonotifictaion-ack",5,"1.25",2,2,"3.43","2.39","7.46","7.46","2.12","7.46"
"logic-dhlsys-prod-eu2-01","wf-despatch-order-pub",4,1,1,1,"2.48","2.31","2.8","2.8","2.03","2.8"
"logic-oraclepetcsys-prod-eu2-01","wf-oraclesftp-conn",4,1,1,1,"6.34","5.56","7.79","7.79","4.9","7.79"
"logic-highradiussys-prod-eu2-01","wf-customer-hierarchy",4,1,1,1,"3.4","2.68","5.81","5.81","1.88","5.81"
"logic-hipops-prod-eu2-01","wf-keyVaultExpiryNotification",4,1,1,1,"50.87","50.44","65.41","65.41","30.99","65.41"
"logic-dhlsys-prod-eu2-01","wf-despatch-order-sub",4,1,1,1,"3.58","3.73","4.12","4.12","2.66","4.12"
"logic-dhlsys-prod-eu2-01","wf-shipment-confirmations",3,"1.5",2,2,"4.96","4.96","5.96","5.96","3.95","5.96"
"logic-alssys-prod-eu2-01",responsetest,2,1,1,1,"9.27","7.54","10.99","10.99","7.54","10.99"
"logic-nomnomsys-prod-eu2-01","wf-gloviaoms-salesorder",2,1,1,1,"14.46","6.58","22.35","22.35","6.58","22.35"
"logic-gloviaomssys-prod-eu2-01","wf-gloviaom-salesorder-ack-pub",1,1,1,1,"9.69","9.69","9.69","9.69","9.69","9.69"
"logic-petcdpidentitysys-prod-eu2-01",DataDogLogging,1,1,1,1,"1.84","1.84","1.84","1.84","1.84","1.84"
"logic-trextranssys-prod-eu2-01","ais-trex-conn-test-uspn",1,1,1,1,"2.46","2.46","2.46","2.46","2.46","2.46"
"logic-sscsys-prod-eu2-01","wf-testSSCConnectivity",1,1,1,1,"1.01","1.01","1.01","1.01","1.01","1.01"
"logic-alssys-prod-eu2-01",ackmain,1,1,1,1,"18.35","18.35","18.35","18.35","18.35","18.35"
"logic-alssys-prod-eu2-01",acktest,1,1,1,1,"13.4","13.4","13.4","13.4","13.4","13.4"
"logic-alssys-prod-eu2-01",responsemain,1,1,1,1,"36.12","36.12","36.12","36.12","36.12","36.12"
